"AAA",1,1,1,1,1,1,1,1,1,1.00
"ABA",0,0,0,1,1,1,0,0,0,0.50
"ACA",0,0,0,0,0,0,1,1,1,1.00
"ADA",1,1,1,0,0,0,0,0,0,1.50
"AEA",0,0,0,1,1,1,0,0,0,2.00
"AFA",0,0,0,0,0,0,1,1,1,2.50
"AGA",1,1,1,0,0,0,0,0,0,3.00
"AHA",0,0,0,1,1,1,0,0,0,3.50
"AIA",0,0,0,0,0,0,1,1,1,4.00
"AJA",1,1,1,0,0,0,0,0,0,4.50
"AKA",0,0,0,1,1,1,0,0,0,5.00
"ALA",0,0,0,0,0,0,1,1,1,5.50
"AMA",1,1,1,0,0,0,0,0,0,6.00
"ANA",0,0,0,1,1,1,0,0,0,6.50
"AOA",0,0,0,0,0,0,1,1,1,7.00
"APA",1,1,1,0,0,0,0,0,0,7.50
"AQA",0,0,0,1,1,1,0,0,0,8.00
"ARA",0,0,0,0,0,0,1,1,1,8.50
"ASA",1,1,1,0,0,0,0,0,0,9.00
"ATA",0,0,0,1,1,1,0,0,0,9.50
"AUA",0,0,0,0,0,0,1,1,1,0.00
"AVA",1,1,1,0,0,0,0,0,0,0.50
"AWA",0,0,0,1,1,1,0,0,0,1.00
"AXA",0,0,0,0,0,0,1,1,1,1.50
"AYA",1,1,1,0,0,0,0,0,0,2.00
"AZA",0,0,0,1,1,1,0,0,0,2.50
